Date,Code,Name,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjusted Price
19-Feb-25,CIC,CIC Insurance Group Ltd,1.98,5.7,2.66,2.9,2.82,2.79,0.03,1.08%,136800,-
19-Feb-25,JUB,Jubilee Holdings Ltd,162,335.5,201.5,202,202,200,2,1.00%,3000,-
19-Feb-25,KNRE,Kenya Re-Insurance Corporation Ltd,1.05,3.77,1.68,1.71,1.69,1.69,-,-,3269100,-
19-Feb-25,LBTY,Liberty Kenya Holdings Ltd,5.82,12.2,7.2,7.9,7.68,8,-0.32,-4.00%,15500,-
19-Feb-25,SLAM,Sanlam Kenya Plc,3.9,11,7.5,7.5,7.5,6.86,0.64,9.33%,800,-
19-Feb-25,CTUM,Centum Investment Company Plc,9.22,16.75,11.35,12.45,12.4,11.9,0.5,4.20%,12200,-
19-Feb-25,HAFR,Home Afrika Ltd,0.33,1.83,0.9,1,0.95,0.96,-0.01,-1.04%,1415100,-
19-Feb-25,KURV,Kurwitu Ventures Ltd,1500,1500,1500,1500,1500,1500,-,-,-,-
19-Feb-25,OCH,Olympia Capital Holdings Ltd,2.7,8.22,3.28,3.5,3.45,3.28,0.17,5.18%,1300,-
19-Feb-25,TCL,Trans-Century Plc,0.36,1.78,1.3,1.45,1.42,1.32,0.1,7.58%,567800,-
19-Feb-25,NSE,Nairobi Securities Exchange Plc,5.5,21.3,6.7,6.72,6.7,6.52,0.18,2.76%,5300,-
19-Feb-25,AMAC,Africa Mega Agricorp Plc,51,80,56.5,56.5,56.5,56.5,-,-,-,-
19-Feb-25,BOC,BOC Kenya Plc,76,150,80.25,81,80.75,80.75,-,-,200,-
19-Feb-25,BAT,British American Tobacco Kenya Plc,345,452,362.5,365,364.75,365,-0.25,-0.07%,19800,-
19-Feb-25,CARB,Carbacid Investments Plc,16.25,32.2,21.6,21.9,21.85,21.9,-0.05,-0.23%,16300,-
19-Feb-25,EABL,East African Breweries Ltd,162.25,250,190,195,193,192,1,0.52%,76500,-
19-Feb-25,FTGH,Flame Tree Group Holdings Ltd,0.85,2.33,1.45,1.6,1.54,1.51,0.03,1.99%,12200,-
19-Feb-25,MSC,Mumias Sugar Company Ltd,0.27,0.27,0.27,0.27,0.27,0.27,-,-,-,-
19-Feb-25,UNGA,Unga Group Ltd,14.4,28.25,20.5,20.5,20.5,20.5,-,-,200,-
19-Feb-25,SCOM,Safaricom Plc,14.1,31,18.8,19.4,18.95,18.7,0.25,1.34%,5656100,-
19-Feb-25,LAPR,Laptrust Imara Income-REIT,20,20,20,20,20,20,-,-,-,-
19-Feb-25,GLD,ABSA NewGold ETF,3000,9800,3455,3455,3455,3455,-,-,-,-
19-Feb-25,^N10I,NSE 10-Share Index,1170.1,2012.04,1376.9,1376.9,1376.9,1366.58,10.32,0.76%,-,-
19-Feb-25,^N20I,NSE 20-Share Index,1823.17,3253.85,2237.81,2237.81,2237.81,2223.99,13.82,0.62%,-,-
19-Feb-25,^N25I,NSE 25-Share Index,3063.32,5206.47,3603.14,3603.14,3603.14,3577.81,25.33,0.71%,-,-
19-Feb-25,^NASI,NSE All-Share Index,110.65,192.89,133.86,133.86,133.86,132.73,1.13,0.85%,-,-
19-Feb-25,^NBDI,NSE Bonds Index,1019.4,1197.84,1152.75,1152.75,1152.75,1155.04,-2.29,-0.20%,-,-
19-Feb-25,^ZKEQTK,Zamara Kenya Equity Index (KES),2283.83,4174.69,2662.43,2662.43,2662.43,2645.41,17.02,0.64%,-,-
19-Feb-25,^ZKEQTU,Zamara Kenya Equity Index (USD),1515.51,2782.05,1770.84,1770.84,1770.84,1762.24,8.6,0.49%,-,-
20-Feb-25,EGAD,Eaagads Ltd,10.8,24.1,13,13,13,13,-,-,-,-
20-Feb-25,KUKZ,Kakuzi Plc,365,440,399.75,399.75,399.75,399.75,-,-,-,-
20-Feb-25,KAPC,Kapchorua Tea Kenya Plc,198,424.25,230,230,230,230,-,-,2300,-
20-Feb-25,LIMT,Limuru Tea Plc,295,423.5,309.5,309.5,309.5,309.5,-,-,-,-
20-Feb-25,SASN,Sasini Plc,13.3,20.4,15.4,15.5,15.5,15.45,0.05,0.32%,8900,-
20-Feb-25,WTK,Williamson Tea Kenya Plc,160,350,211,216,214.75,215.5,-0.75,-0.35%,2700,-
20-Feb-25,CGEN,Car and General (K) Ltd,19.5,63,23.05,23.05,23.05,23.05,-,-,-,-
20-Feb-25,ABSA,ABSA Bank Kenya Plc,14.55,26.25,18.9,19.1,19,19.1,-0.1,-0.52%,285900,-
20-Feb-25,BKG,BK Group Plc,28.75,43.5,35,35,35,35,-,-,-,-
20-Feb-25,COOP,Co-operative Bank of Kenya Ltd,13.5,25.2,17,17.35,17.1,17.05,0.05,0.29%,491200,-
20-Feb-25,DTK,Diamond Trust Bank Kenya Ltd,51.25,118,78,85,80,82.25,-2.25,-2.74%,21900,-
20-Feb-25,EQTY,Equity Group Holdings Plc,41.2,71,46.75,47.65,46.85,46.8,0.05,0.11%,652800,-
20-Feb-25,HFCK,HF Group Ltd,3.32,11.4,7.98,8.4,8,7.98,0.02,0.25%,128900,-
20-Feb-25,IMH,I & M Holdings Plc,28,46.2,35,35.95,35.35,35.65,-0.3,-0.84%,106700,-
20-Feb-25,KCB,KCB Group Plc,35,72.5,43.5,45,44.9,45,-0.1,-0.22%,6831200,-
20-Feb-25,NCBA,NCBA Group Plc,40,100,48.95,50,49.1,48.9,0.2,0.41%,73700,-
20-Feb-25,SBIC,Stanbic Holdings Plc,125,202.5,147.25,148.5,147.75,148.5,-0.75,-0.51%,7700,-
20-Feb-25,SCBK,Standard Chartered Bank Kenya Ltd,232,347.5,293,293.25,293,293.25,-0.25,-0.09%,9900,-
20-Feb-25,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,-,-,-,-
20-Feb-25,EVRD,Eveready East Africa Ltd,0.75,1.62,1.24,1.33,1.31,1.33,-0.02,-1.50%,8700,-
20-Feb-25,XPRS,Express Kenya Plc,2.8,10,3.8,3.8,3.8,3.8,-,-,-,-
20-Feb-25,HBE,Homeboyz Entertainment Plc,4.66,4.66,4.66,4.66,4.66,4.66,-,-,-,-
20-Feb-25,KQ,Kenya Airways Plc,1.56,9.18,5.34,5.5,5.4,5.34,0.06,1.12%,220000,-
20-Feb-25,LKL,Longhorn Publishers Plc,2.1,3.47,3.12,3.12,3.12,3.46,-0.34,-9.83%,2000,-
20-Feb-25,NBV,Nairobi Business Ventures Ltd,1.48,2.31,2.09,2.13,2.1,2.12,-0.02,-0.94%,2800,-
20-Feb-25,NMG,Nation Media Group Plc,10.05,15.5,14.4,15,14.5,13.8,0.7,5.07%,6100,-
20-Feb-25,SMER,Sameer Africa Plc,2.11,17,3.12,3.12,3.12,3.12,-,-,3400,-
20-Feb-25,SGL,Standard Group Plc,4.5,7.14,6.5,6.58,6.56,6.58,-0.02,-0.30%,1100,-
20-Feb-25,TPSE,TPS Eastern Africa (Serena) Ltd,13,18.7,16,16,16,16,-,-,42900,-
20-Feb-25,UCHM,Uchumi Supermarket Plc,0.16,0.48,0.3,0.31,0.31,0.29,0.02,6.90%,263200,-
20-Feb-25,SCAN,WPP ScanGroup Plc,1.8,4.02,3.26,3.3,3.3,3.35,-0.05,-1.49%,6400,-
20-Feb-25,ARM,ARM Cement Plc,5.55,5.55,5.55,5.55,5.55,5.55,-,-,-,-
20-Feb-25,BAMB,Bamburi Cement Ltd,47,67,57,57.25,57,57.25,-0.25,-0.44%,7800,-
20-Feb-25,CRWN,Crown Paints Kenya Plc,29,62,31.2,31.2,31.2,31.2,-,-,-,-
20-Feb-25,CABL,East African Cables Plc,0.98,3.27,2.4,2.6,2.48,2.43,0.05,2.06%,132500,-
20-Feb-25,PORT,East African Portland Cement Ltd,24.5,64.25,35,35,35,35,-,-,-,-
20-Feb-25,KEGN,Kenya Electricity Generating Company Plc,3.3,10.75,4.75,4.89,4.85,4.74,0.11,2.32%,643500,-
20-Feb-25,KPLC-P4,KPLC-P4,4,4.51,4,4,4,4,-,-,-,-
20-Feb-25,KPLC-P7,KPLC-P7,6,6,6,6,6,6,-,-,-,-
20-Feb-25,KPLC,Kenya Power and Lighting Company Plc,3.1,15.8,6.96,7.1,7,7,-,-,339000,-
20-Feb-25,TOTL,TotalEnergies Marketing Kenya Plc,19.3,47,22.55,24,23,22.65,0.35,1.55%,2400,-
20-Feb-25,UMME,Umeme Ltd,6.86,24.75,16.5,16.65,16.65,16.65,-,-,12400,-
20-Feb-25,BRIT,Britam Holdings Plc,5.52,9.4,7.2,7.5,7.46,7.24,0.22,3.04%,58800,-
20-Feb-25,CIC,CIC Insurance Group Ltd,1.98,5.7,2.75,3.1,3.01,2.82,0.19,6.74%,954800,-
20-Feb-25,JUB,Jubilee Holdings Ltd,162,335.5,202,205,204.25,202,2.25,1.11%,23800,-
20-Feb-25,KNRE,Kenya Re-Insurance Corporation Ltd,1.05,3.77,1.69,1.74,1.71,1.69,0.02,1.18%,1039200,-
20-Feb-25,LBTY,Liberty Kenya Holdings Ltd,5.82,12.2,7.5,7.7,7.52,7.68,-0.16,-2.08%,21300,-
20-Feb-25,SLAM,Sanlam Kenya Plc,3.9,11,7.46,7.7,7.6,7.5,0.1,1.33%,41800,-
20-Feb-25,CTUM,Centum Investment Company Plc,9.22,16.75,11.5,12.45,12.4,12.4,-,-,91100,-
20-Feb-25,HAFR,Home Afrika Ltd,0.33,1.83,0.9,0.95,0.93,0.95,-0.02,-2.11%,204500,-
20-Feb-25,KURV,Kurwitu Ventures Ltd,1500,1500,1500,1500,1500,1500,-,-,-,-
20-Feb-25,OCH,Olympia Capital Holdings Ltd,2.7,8.22,3.5,3.5,3.5,3.45,0.05,1.45%,300,-
20-Feb-25,TCL,Trans-Century Plc,0.36,1.78,1.3,1.43,1.4,1.42,-0.02,-1.41%,177000,-
20-Feb-25,NSE,Nairobi Securities Exchange Plc,5.5,21.3,6.5,6.7,6.62,6.7,-0.08,-1.19%,137300,-
20-Feb-25,AMAC,Africa Mega Agricorp Plc,51,80,56.5,56.5,56.5,56.5,-,-,-,-
20-Feb-25,BOC,BOC Kenya Plc,76,150,80.75,80.75,80.75,80.75,-,-,-,-
20-Feb-25,BAT,British American Tobacco Kenya Plc,345,452,362,365,364.75,364.75,-,-,10900,-
20-Feb-25,CARB,Carbacid Investments Plc,16.25,32.2,21.6,21.9,21.8,21.85,-0.05,-0.23%,26400,-
20-Feb-25,EABL,East African Breweries Ltd,162.25,250,184,193,192.75,193,-0.25,-0.13%,54300,-
20-Feb-25,FTGH,Flame Tree Group Holdings Ltd,0.85,2.33,1.41,1.5,1.49,1.54,-0.05,-3.25%,6700,-
20-Feb-25,MSC,Mumias Sugar Company Ltd,0.27,0.27,0.27,0.27,0.27,0.27,-,-,-,-
20-Feb-25,UNGA,Unga Group Ltd,14.4,28.25,20,21,20.2,20.5,-0.3,-1.46%,1700,-
20-Feb-25,SCOM,Safaricom Plc,14.1,31,18.75,19,18.85,18.95,-0.1,-0.53%,1660300,-
20-Feb-25,LAPR,Laptrust Imara Income-REIT,20,20,20,20,20,20,-,-,-,-
20-Feb-25,GLD,ABSA NewGold ETF,3000,9800,3455,3455,3455,3455,-,-,-,-
20-Feb-25,^N10I,NSE 10-Share Index,1170.1,2012.04,1375.48,1375.48,1375.48,1376.9,-1.42,-0.10%,-,-
20-Feb-25,^N20I,NSE 20-Share Index,1823.17,3253.85,2255.17,2255.17,2255.17,2237.81,17.36,0.78%,-,-
20-Feb-25,^N25I,NSE 25-Share Index,3063.32,5206.47,3597.66,3597.66,3597.66,3603.14,-5.48,-0.15%,-,-
20-Feb-25,^NASI,NSE All-Share Index,110.65,192.89,133.63,133.63,133.63,133.86,-0.23,-0.17%,-,-
20-Feb-25,^NBDI,NSE Bonds Index,1019.4,1197.84,1153.88,1153.88,1153.88,1152.75,1.13,0.10%,-,-
20-Feb-25,^ZKEQTK,Zamara Kenya Equity Index (KES),2283.83,4174.69,2656.82,2656.82,2656.82,2662.43,-5.61,-0.21%,-,-
20-Feb-25,^ZKEQTU,Zamara Kenya Equity Index (USD),1515.51,2782.05,1767.11,1767.11,1767.11,1770.84,-3.73,-0.21%,-,-
21-Feb-25,EGAD,Eaagads Ltd,10.8,24.1,13,13,13,13,-,-,500,-
21-Feb-25,KUKZ,Kakuzi Plc,365,440,399.75,399.75,399.75,399.75,-,-,-,-
21-Feb-25,KAPC,Kapchorua Tea Kenya Plc,198,424.25,230,230,230,230,-,-,2500,-
21-Feb-25,LIMT,Limuru Tea Plc,295,423.5,309.5,309.5,309.5,309.5,-,-,-,-
21-Feb-25,SASN,Sasini Plc,13.3,20.4,15,16,15.45,15.5,-0.05,-0.32%,19700,-
21-Feb-25,WTK,Williamson Tea Kenya Plc,160,350,212,212,212,214.75,-2.75,-1.28%,800,-
21-Feb-25,CGEN,Car and General (K) Ltd,19.5,63,22.6,24.8,22.9,23.05,-0.15,-0.65%,1400,-
21-Feb-25,ABSA,ABSA Bank Kenya Plc,14.55,26.25,18.6,19.1,18.95,19,-0.05,-0.26%,82100,-
21-Feb-25,BKG,BK Group Plc,28.75,43.5,35,35,35,35,-,-,100,-
21-Feb-25,COOP,Co-operative Bank of Kenya Ltd,13.5,25.2,16.9,17.35,17,17.1,-0.1,-0.58%,294100,-
21-Feb-25,DTK,Diamond Trust Bank Kenya Ltd,51.25,118,77,79,77.75,80,-2.25,-2.81%,6200,-
21-Feb-25,EQTY,Equity Group Holdings Plc,41.2,71,46.9,47.5,47,46.85,0.15,0.32%,1282700,-
21-Feb-25,HFCK,HF Group Ltd,3.32,11.4,7.7,8.5,7.84,8,-0.16,-2.00%,151800,-
21-Feb-25,IMH,I & M Holdings Plc,28,46.2,35,35.9,35.35,35.35,-,-,7100,-
21-Feb-25,KCB,KCB Group Plc,35,72.5,43.8,45.2,43.95,44.9,-0.95,-2.12%,7376800,-
21-Feb-25,NCBA,NCBA Group Plc,40,100,49,49.95,49.25,49.1,0.15,0.31%,17200,-
21-Feb-25,SBIC,Stanbic Holdings Plc,125,202.5,147.75,148,148,147.75,0.25,0.17%,10000,-
21-Feb-25,SCBK,Standard Chartered Bank Kenya Ltd,232,347.5,293,296,293,293,-,-,15700,-
21-Feb-25,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,-,-,-,-
21-Feb-25,EVRD,Eveready East Africa Ltd,0.75,1.62,1.26,1.33,1.29,1.31,-0.02,-1.53%,18300,-
21-Feb-25,XPRS,Express Kenya Plc,2.8,10,3.8,3.8,3.8,3.8,-,-,-,-
21-Feb-25,HBE,Homeboyz Entertainment Plc,4.66,4.66,4.66,4.66,4.66,4.66,-,-,-,-
21-Feb-25,KQ,Kenya Airways Plc,1.56,9.18,5.4,5.5,5.42,5.4,0.02,0.37%,99700,-
21-Feb-25,LKL,Longhorn Publishers Plc,2.1,3.47,3.12,3.12,3.12,3.12,-,-,-,-
21-Feb-25,NBV,Nairobi Business Ventures Ltd,1.48,2.31,1.96,2.1,2.02,2.1,-0.08,-3.81%,9500,-
21-Feb-25,NMG,Nation Media Group Plc,10.05,15.5,13.8,14.95,14.1,14.5,-0.4,-2.76%,13500,-
21-Feb-25,SMER,Sameer Africa Plc,2.11,17,3.12,3.29,3.15,3.12,0.03,0.96%,45000,-
21-Feb-25,SGL,Standard Group Plc,4.5,7.14,6.56,6.56,6.56,6.56,-,-,-,-
21-Feb-25,TPSE,TPS Eastern Africa (Serena) Ltd,13,18.7,15.7,15.7,15.7,16,-0.3,-1.88%,200,-
21-Feb-25,UCHM,Uchumi Supermarket Plc,0.16,0.48,0.32,0.34,0.33,0.31,0.02,6.45%,2692500,-
21-Feb-25,SCAN,WPP ScanGroup Plc,1.8,4.02,3.3,3.35,3.31,3.3,0.01,0.30%,10800,-
21-Feb-25,ARM,ARM Cement Plc,5.55,5.55,5.55,5.55,5.55,5.55,-,-,-,-
21-Feb-25,BAMB,Bamburi Cement Ltd,47,67,56,57.25,56.5,57,-0.5,-0.88%,1600,-
21-Feb-25,CRWN,Crown Paints Kenya Plc,29,62,33,33,33,31.2,1.8,5.77%,900,-
21-Feb-25,CABL,East African Cables Plc,0.98,3.27,2.3,2.44,2.36,2.48,-0.12,-4.84%,24900,-
21-Feb-25,PORT,East African Portland Cement Ltd,24.5,64.25,32,37,34.05,35,-0.95,-2.71%,1900,-
21-Feb-25,KEGN,Kenya Electricity Generating Company Plc,3.3,10.75,4.84,5,4.91,4.85,0.06,1.24%,1314400,-
21-Feb-25,KPLC-P4,KPLC-P4,4,4.51,4,4,4,4,-,-,-,-
21-Feb-25,KPLC-P7,KPLC-P7,6,6,6,6,6,6,-,-,-,-
21-Feb-25,KPLC,Kenya Power and Lighting Company Plc,3.1,15.8,6.92,7.08,6.98,7,-0.02,-0.29%,1811100,-
21-Feb-25,TOTL,TotalEnergies Marketing Kenya Plc,19.3,47,24,24,24,23,1,4.35%,5500,-
21-Feb-25,UMME,Umeme Ltd,6.86,24.75,16.6,16.65,16.65,16.65,-,-,4800,-
21-Feb-25,BRIT,Britam Holdings Plc,5.52,9.4,7,7.5,7.32,7.46,-0.14,-1.88%,83100,-
21-Feb-25,CIC,CIC Insurance Group Ltd,1.98,5.7,2.71,3.1,2.87,3.01,-0.14,-4.65%,322600,-
21-Feb-25,JUB,Jubilee Holdings Ltd,162,335.5,204.25,204.25,204.25,204.25,-,-,-,-
21-Feb-25,KNRE,Kenya Re-Insurance Corporation Ltd,1.05,3.77,1.75,1.85,1.81,1.71,0.1,5.85%,3415400,-
21-Feb-25,LBTY,Liberty Kenya Holdings Ltd,5.82,12.2,7.5,7.52,7.5,7.52,-0.02,-0.27%,600,-
21-Feb-25,SLAM,Sanlam Kenya Plc,3.9,11,7.3,8.24,7.38,7.6,-0.22,-2.89%,1100,-
21-Feb-25,CTUM,Centum Investment Company Plc,9.22,16.75,11.85,12.95,12.2,12.4,-0.2,-1.61%,9100,-
21-Feb-25,HAFR,Home Afrika Ltd,0.33,1.83,0.89,0.92,0.9,0.93,-0.03,-3.23%,281200,-
21-Feb-25,KURV,Kurwitu Ventures Ltd,1500,1500,1500,1500,1500,1500,-,-,-,-
21-Feb-25,OCH,Olympia Capital Holdings Ltd,2.7,8.22,3.5,3.5,3.5,3.5,-,-,-,-
21-Feb-25,TCL,Trans-Century Plc,0.36,1.78,1.39,1.44,1.41,1.4,0.01,0.71%,324900,-
21-Feb-25,NSE,Nairobi Securities Exchange Plc,5.5,21.3,6.6,6.74,6.6,6.62,-0.02,-0.30%,51900,-
21-Feb-25,AMAC,Africa Mega Agricorp Plc,51,80,56.5,56.5,56.5,56.5,-,-,-,-
21-Feb-25,BOC,BOC Kenya Plc,76,150,81,81,81,80.75,0.25,0.31%,200,-
21-Feb-25,BAT,British American Tobacco Kenya Plc,345,452,364.25,365.25,365,364.75,0.25,0.07%,22500,-
21-Feb-25,CARB,Carbacid Investments Plc,16.25,32.2,21.65,21.8,21.7,21.8,-0.1,-0.46%,64400,-
21-Feb-25,EABL,East African Breweries Ltd,162.25,250,183.25,191,183.75,192.75,-9,-4.67%,29900,-
21-Feb-25,FTGH,Flame Tree Group Holdings Ltd,0.85,2.33,1.4,1.54,1.46,1.49,-0.03,-2.01%,9900,-
21-Feb-25,MSC,Mumias Sugar Company Ltd,0.27,0.27,0.27,0.27,0.27,0.27,-,-,-,-
21-Feb-25,UNGA,Unga Group Ltd,14.4,28.25,20.1,22.2,21.45,20.2,1.25,6.19%,300,-
21-Feb-25,SCOM,Safaricom Plc,14.1,31,18.7,19,18.8,18.85,-0.05,-0.27%,3041000,-
21-Feb-25,LAPR,Laptrust Imara Income-REIT,20,20,20,20,20,20,-,-,-,-
21-Feb-25,GLD,ABSA NewGold ETF,3000,9800,3455,3455,3455,3455,-,-,-,-
21-Feb-25,^N10I,NSE 10-Share Index,1170.1,2012.04,1361.23,1361.23,1361.23,1375.48,-14.25,-1.04%,-,-
21-Feb-25,^N20I,NSE 20-Share Index,1823.17,3253.85,2241.11,2241.11,2241.11,2255.17,-14.06,-0.62%,-,-
21-Feb-25,^N25I,NSE 25-Share Index,3063.32,5206.47,3566.84,3566.84,3566.84,3597.66,-30.82,-0.86%,-,-
21-Feb-25,^NASI,NSE All-Share Index,110.65,192.89,132.81,132.81,132.81,133.63,-0.82,-0.61%,-,-
21-Feb-25,^NBDI,NSE Bonds Index,1019.4,1197.84,1155.57,1155.57,1155.57,1153.88,1.69,0.15%,-,-
21-Feb-25,^ZKEQTK,Zamara Kenya Equity Index (KES),2283.83,4174.69,2622.28,2622.28,2622.28,2656.82,-34.54,-1.30%,-,-
21-Feb-25,^ZKEQTU,Zamara Kenya Equity Index (USD),1515.51,2782.05,1744.13,1744.13,1744.13,1767.11,-22.98,-1.30%,-,-
24-Feb-25,EGAD,Eaagads Ltd,10.8,24.1,13,13,13,13,-,-,-,-
24-Feb-25,KUKZ,Kakuzi Plc,365,440,399.75,399.75,399.75,399.75,-,-,-,-
24-Feb-25,KAPC,Kapchorua Tea Kenya Plc,198,424.25,230,230,230,230,-,-,2800,-
24-Feb-25,LIMT,Limuru Tea Plc,295,423.5,309.5,309.5,309.5,309.5,-,-,-,-
24-Feb-25,SASN,Sasini Plc,13.3,20.4,14.6,16,14.75,15.45,-0.7,-4.53%,15600,-
24-Feb-25,WTK,Williamson Tea Kenya Plc,160,350,212,216,216,212,4,1.89%,3200,-
24-Feb-25,CGEN,Car and General (K) Ltd,19.5,63,24.75,24.85,24.8,22.9,1.9,8.30%,1100,-
24-Feb-25,ABSA,ABSA Bank Kenya Plc,14.55,26.25,18.7,19.05,18.95,18.95,-,-,49200,-
24-Feb-25,BKG,BK Group Plc,28.75,43.5,35,37.45,35.25,35,0.25,0.71%,15600,-
24-Feb-25,COOP,Co-operative Bank of Kenya Ltd,13.5,25.2,16.9,17.3,17,17,-,-,160400,-
24-Feb-25,DTK,Diamond Trust Bank Kenya Ltd,51.25,118,77,80,78,77.75,0.25,0.32%,44500,-
24-Feb-25,EQTY,Equity Group Holdings Plc,41.2,71,47,49,47.95,47,0.95,2.02%,141600,-
24-Feb-25,HFCK,HF Group Ltd,3.32,11.4,8,8.5,8.02,7.84,0.18,2.30%,137100,-
24-Feb-25,IMH,I & M Holdings Plc,28,46.2,35,36,35.05,35.35,-0.3,-0.85%,157400,-
24-Feb-25,KCB,KCB Group Plc,35,72.5,44,45.5,44.95,43.95,1,2.28%,1090800,-
24-Feb-25,NCBA,NCBA Group Plc,40,100,48,49,48.95,49.25,-0.3,-0.61%,17700,-
24-Feb-25,SBIC,Stanbic Holdings Plc,125,202.5,148,150,149.25,148,1.25,0.84%,30900,-
24-Feb-25,SCBK,Standard Chartered Bank Kenya Ltd,232,347.5,290,296,292,293,-1,-0.34%,10700,-
24-Feb-25,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,-,-,-,-
24-Feb-25,EVRD,Eveready East Africa Ltd,0.75,1.62,1.27,1.3,1.29,1.29,-,-,9200,-
24-Feb-25,XPRS,Express Kenya Plc,2.8,10,3.65,3.8,3.65,3.8,-0.15,-3.95%,18700,-
24-Feb-25,HBE,Homeboyz Entertainment Plc,4.66,4.66,4.66,4.66,4.66,4.66,-,-,-,-
24-Feb-25,KQ,Kenya Airways Plc,1.56,9.18,5.3,5.5,5.46,5.42,0.04,0.74%,286200,-
24-Feb-25,LKL,Longhorn Publishers Plc,2.1,3.47,3.12,3.43,3.43,3.12,0.31,9.94%,211700,-
24-Feb-25,NBV,Nairobi Business Ventures Ltd,1.48,2.31,2.02,2.13,2.1,2.02,0.08,3.96%,4300,-
24-Feb-25,NMG,Nation Media Group Plc,10.05,15.5,14.1,15,14.35,14.1,0.25,1.77%,4400,-
24-Feb-25,SMER,Sameer Africa Plc,2.11,17,2.89,3.29,3.08,3.15,-0.07,-2.22%,28500,-
24-Feb-25,SGL,Standard Group Plc,4.5,7.14,6,6.54,6.48,6.56,-0.08,-1.22%,2500,-
24-Feb-25,TPSE,TPS Eastern Africa (Serena) Ltd,13,18.7,15.7,16,15.95,15.7,0.25,1.59%,15400,-
24-Feb-25,UCHM,Uchumi Supermarket Plc,0.16,0.48,0.33,0.34,0.34,0.33,0.01,3.03%,335300,-
24-Feb-25,SCAN,WPP ScanGroup Plc,1.8,4.02,3.31,3.35,3.33,3.31,0.02,0.60%,8500,-
24-Feb-25,ARM,ARM Cement Plc,5.55,5.55,5.55,5.55,5.55,5.55,-,-,-,-
24-Feb-25,BAMB,Bamburi Cement Ltd,47,67,57.5,57.5,57.5,56.5,1,1.77%,4000,-
24-Feb-25,CRWN,Crown Paints Kenya Plc,29,62,33,34.3,33.85,33,0.85,2.58%,300,-
24-Feb-25,CABL,East African Cables Plc,0.98,3.27,2.15,2.35,2.26,2.36,-0.1,-4.24%,204800,-
24-Feb-25,PORT,East African Portland Cement Ltd,24.5,64.25,32,37.45,36.95,34.05,2.9,8.52%,1400,-
24-Feb-25,KEGN,Kenya Electricity Generating Company Plc,3.3,10.75,4.89,5,4.96,4.91,0.05,1.02%,1712500,-
24-Feb-25,KPLC-P4,KPLC-P4,4,4.51,4,4,4,4,-,-,-,-
24-Feb-25,KPLC-P7,KPLC-P7,6,6,6,6,6,6,-,-,-,-
24-Feb-25,KPLC,Kenya Power and Lighting Company Plc,3.1,15.8,6.98,7,7,6.98,0.02,0.29%,1231200,-
24-Feb-25,TOTL,TotalEnergies Marketing Kenya Plc,19.3,47,23,24,23.85,24,-0.15,-0.63%,14700,-
24-Feb-25,UMME,Umeme Ltd,6.86,24.75,16.25,16.65,16.35,16.65,-0.3,-1.80%,292400,-
24-Feb-25,BRIT,Britam Holdings Plc,5.52,9.4,7.14,7.5,7.4,7.32,0.08,1.09%,198000,-
24-Feb-25,CIC,CIC Insurance Group Ltd,1.98,5.7,2.72,3,2.99,2.87,0.12,4.18%,280600,-
24-Feb-25,JUB,Jubilee Holdings Ltd,162,335.5,201,202.5,202,204.25,-2.25,-1.10%,300,-
24-Feb-25,KNRE,Kenya Re-Insurance Corporation Ltd,1.05,3.77,1.79,1.85,1.82,1.81,0.01,0.55%,927500,-
24-Feb-25,LBTY,Liberty Kenya Holdings Ltd,5.82,12.2,7,7.5,7.5,7.5,-,-,68300,-
24-Feb-25,SLAM,Sanlam Kenya Plc,3.9,11,7.3,7.3,7.3,7.38,-0.08,-1.08%,6100,-
24-Feb-25,CTUM,Centum Investment Company Plc,9.22,16.75,12,13.35,12.7,12.2,0.5,4.10%,13800,-
24-Feb-25,HAFR,Home Afrika Ltd,0.33,1.83,0.9,0.96,0.92,0.9,0.02,2.22%,153600,-
24-Feb-25,KURV,Kurwitu Ventures Ltd,1500,1500,1500,1500,1500,1500,-,-,-,-
24-Feb-25,OCH,Olympia Capital Holdings Ltd,2.7,8.22,3.5,3.5,3.5,3.5,-,-,12800,-
24-Feb-25,TCL,Trans-Century Plc,0.36,1.78,1.3,1.43,1.32,1.41,-0.09,-6.38%,127100,-
24-Feb-25,NSE,Nairobi Securities Exchange Plc,5.5,21.3,6.6,6.74,6.6,6.6,-,-,202300,-
24-Feb-25,AMAC,Africa Mega Agricorp Plc,51,80,56.5,56.5,56.5,56.5,-,-,-,-
24-Feb-25,BOC,BOC Kenya Plc,76,150,81,81,81,81,-,-,-,-
24-Feb-25,BAT,British American Tobacco Kenya Plc,345,452,365,400,371.5,365,6.5,1.78%,39000,-
24-Feb-25,CARB,Carbacid Investments Plc,16.25,32.2,21.4,21.7,21.65,21.7,-0.05,-0.23%,32000,-
24-Feb-25,EABL,East African Breweries Ltd,162.25,250,183,188.5,186.5,183.75,2.75,1.50%,800,-
