Date,Code,Name,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjusted Price
6-Jan-25,SCOM,Safaricom Plc,14.1,31,17.2,17.8,17.6,17.35,0.25,1.44%,23339700,-
6-Jan-25,LAPR,Laptrust Imara Income-REIT,20,20,20,20,20,20,-,-,-,-
6-Jan-25,GLD,ABSA NewGold ETF,3000,9800,3260,3260,3260,3260,-,-,-,-
6-Jan-25,^N10I,NSE 10-Share Index,1170.1,2012.04,1336.77,1336.77,1336.77,1335.89,0.88,0.07%,-,-
6-Jan-25,^N20I,NSE 20-Share Index,1823.17,3253.85,2095.88,2095.88,2095.88,2088.97,6.91,0.33%,-,-
6-Jan-25,^N25I,NSE 25-Share Index,3063.32,5206.47,3494.82,3494.82,3494.82,3483.67,11.15,0.32%,-,-
6-Jan-25,^NASI,NSE All-Share Index,110.65,192.89,127.28,127.28,127.28,126.36,0.92,0.73%,-,-
6-Jan-25,^NBDI,NSE Bonds Index,1019.4,1197.84,1109.18,1109.18,1109.18,1108.69,0.49,0.04%,-,-
6-Jan-25,^ZKEQTK,Zamara Kenya Equity Index (KES),2283.83,4174.69,2578.16,2578.16,2578.16,2564.79,13.37,0.52%,-,-
6-Jan-25,^ZKEQTU,Zamara Kenya Equity Index (USD),1515.51,2782.05,1716.78,1716.78,1716.78,1708.53,8.25,0.48%,-,-
7-Jan-25,EGAD,Eaagads Ltd,10.8,24.1,10.85,12,11.65,12,-0.35,-2.92%,1600,-
7-Jan-25,KUKZ,Kakuzi Plc,365,440,392.5,392.5,392.5,392.5,-,-,-,-
7-Jan-25,KAPC,Kapchorua Tea Kenya Plc,198,424.25,235,235,235,235,-,-,-,-
7-Jan-25,LIMT,Limuru Tea Plc,295,423.5,350,350,350,350,-,-,-,-
7-Jan-25,SASN,Sasini Plc,13.3,20.4,16,16,16,14.9,1.1,7.38%,38200,-
7-Jan-25,WTK,Williamson Tea Kenya Plc,160,350,224,224,224,224.5,-0.5,-0.22%,200,-
7-Jan-25,CGEN,Car and General (K) Ltd,19.5,63,24,26,25.15,24,1.15,4.79%,2600,-
7-Jan-25,ABSA,ABSA Bank Kenya Plc,14.55,26.25,17.85,19.25,18.5,18.85,-0.35,-1.86%,2052000,-
7-Jan-25,BKG,BK Group Plc,28.75,43.5,34,36,34.85,35,-0.15,-0.43%,14000,-
7-Jan-25,COOP,Co-operative Bank of Kenya Ltd,13.5,25.2,17.7,18,17.8,17.65,0.15,0.85%,422800,-
7-Jan-25,DTK,Diamond Trust Bank Kenya Ltd,51.25,118,68,69,68.25,68.5,-0.25,-0.36%,185400,-
7-Jan-25,EQTY,Equity Group Holdings Plc,41.2,71,47.5,48.25,47.95,47.8,0.15,0.31%,368600,-
7-Jan-25,HFCK,HF Group Ltd,3.32,11.4,4.72,5.18,4.99,4.83,0.16,3.31%,259900,-
7-Jan-25,IMH,I & M Holdings Plc,28,46.2,36,36.95,36.55,36.1,0.45,1.25%,186200,-
7-Jan-25,KCB,KCB Group Plc,35,72.5,42.8,43.5,43,42.9,0.1,0.23%,4293000,-
7-Jan-25,NCBA,NCBA Group Plc,40,100,47.55,50.75,49.95,49.2,0.75,1.52%,202300,-
7-Jan-25,SBIC,Stanbic Holdings Plc,125,202.5,156,158,156.75,145.5,11.25,7.73%,1800,-
7-Jan-25,SCBK,Standard Chartered Bank Kenya Ltd,232,347.5,291,305,300.25,295.5,4.75,1.61%,210300,-
7-Jan-25,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,-,-,-,-
7-Jan-25,EVRD,Eveready East Africa Ltd,0.75,1.62,1.1,1.17,1.1,1.12,-0.02,-1.79%,30400,-
7-Jan-25,XPRS,Express Kenya Plc,2.8,10,3.15,3.5,3.38,3.5,-0.12,-3.43%,300,-
7-Jan-25,HBE,Homeboyz Entertainment Plc,4.66,4.66,4.66,4.66,4.66,4.66,-,-,-,-
7-Jan-25,KQ,Kenya Airways Plc,1.56,9.18,4,4.45,4.33,4.05,0.28,6.91%,986000,-
7-Jan-25,LKL,Longhorn Publishers Plc,2.1,3.47,2.3,2.3,2.3,2.3,-,-,31500,-
7-Jan-25,NBV,Nairobi Business Ventures Ltd,1.48,2.31,2,2.1,2,2.01,-0.01,-0.50%,10900,-
7-Jan-25,NMG,Nation Media Group Plc,10.05,15.5,13.4,14.95,14,14,-,-,49000,-
7-Jan-25,SMER,Sameer Africa Plc,2.11,17,2.5,2.67,2.55,2.67,-0.12,-4.49%,900,-
7-Jan-25,SGL,Standard Group Plc,4.5,7.14,4.5,4.9,4.65,4.51,0.14,3.10%,2000,-
7-Jan-25,TPSE,TPS Eastern Africa (Serena) Ltd,13,18.7,15,15,15,15,-,-,-,-
7-Jan-25,UCHM,Uchumi Supermarket Plc,0.16,0.48,0.16,0.17,0.17,0.16,0.01,6.25%,182200,-
7-Jan-25,SCAN,WPP ScanGroup Plc,1.8,4.02,2.32,2.65,2.65,2.54,0.11,4.33%,506900,-
7-Jan-25,ARM,ARM Cement Plc,5.55,5.55,5.55,5.55,5.55,5.55,-,-,-,-
7-Jan-25,BAMB,Bamburi Cement Ltd,47,67,55,56,55,55.25,-0.25,-0.45%,6400,-
7-Jan-25,CRWN,Crown Paints Kenya Plc,29,62,32,35,33.1,32,1.1,3.44%,4600,-
7-Jan-25,CABL,East African Cables Plc,0.98,3.27,1.04,1.09,1.06,1.06,-,-,31800,-
7-Jan-25,PORT,East African Portland Cement Ltd,24.5,64.25,28,30,29.5,28.25,1.25,4.42%,1900,-
7-Jan-25,KEGN,Kenya Electricity Generating Company Plc,3.3,10.75,4.01,4.36,4.24,3.97,0.27,6.80%,2889800,-
7-Jan-25,KPLC-P4,KPLC-P4,4,4.51,4,4,4,4,-,-,-,-
7-Jan-25,KPLC-P7,KPLC-P7,6,6,6,6,6,6,-,-,-,-
7-Jan-25,KPLC,Kenya Power and Lighting Company Plc,3.1,15.8,6.4,6.44,6.44,5.86,0.58,9.90%,1549200,-
7-Jan-25,TOTL,TotalEnergies Marketing Kenya Plc,19.3,47,20,21,20.8,20.65,0.15,0.73%,8900,-
7-Jan-25,UMME,Umeme Ltd,6.86,24.75,17,17.6,17.35,17,0.35,2.06%,59000,-
7-Jan-25,BRIT,Britam Holdings Plc,5.52,9.4,6,6.76,6.56,6.16,0.4,6.49%,233000,-
7-Jan-25,CIC,CIC Insurance Group Ltd,1.98,5.7,2.19,2.3,2.27,2.19,0.08,3.65%,301400,-
7-Jan-25,JUB,Jubilee Holdings Ltd,162,335.5,190,190.5,190,189.5,0.5,0.26%,32900,-
7-Jan-25,KNRE,Kenya Re-Insurance Corporation Ltd,1.05,3.77,1.37,1.4,1.38,1.38,-,-,6274900,-
7-Jan-25,LBTY,Liberty Kenya Holdings Ltd,5.82,12.2,6.26,6.26,6.26,6.26,-,-,-,-
7-Jan-25,SLAM,Sanlam Kenya Plc,3.9,11,4.7,5.18,4.82,5.18,-0.36,-6.95%,800,-
7-Jan-25,CTUM,Centum Investment Company Plc,9.22,16.75,9.94,10.85,10.05,10.25,-0.2,-1.95%,61300,-
7-Jan-25,HAFR,Home Afrika Ltd,0.33,1.83,0.35,0.37,0.37,0.36,0.01,2.78%,50800,-
7-Jan-25,KURV,Kurwitu Ventures Ltd,1500,1500,1500,1500,1500,1500,-,-,-,-
7-Jan-25,OCH,Olympia Capital Holdings Ltd,2.7,8.22,2.72,2.72,2.72,2.87,-0.15,-5.23%,100,-
7-Jan-25,TCL,Trans-Century Plc,0.36,1.78,0.4,0.42,0.4,0.41,-0.01,-2.44%,166700,-
7-Jan-25,NSE,Nairobi Securities Exchange Plc,5.5,21.3,6.2,6.4,6.3,6.16,0.14,2.27%,1003200,-
7-Jan-25,AMAC,Africa Mega Agricorp Plc,51,80,70,70,70,70,-,-,-,-
7-Jan-25,BOC,BOC Kenya Plc,76,150,86,86,86,86,-,-,-,-
7-Jan-25,BAT,British American Tobacco Kenya Plc,345,452,370,379.75,373.5,372.75,0.75,0.20%,5200,-
7-Jan-25,CARB,Carbacid Investments Plc,16.25,32.2,19.1,21,19.55,19.25,0.3,1.56%,81800,-
7-Jan-25,EABL,East African Breweries Ltd,162.25,250,175,180,177.75,179,-1.25,-0.70%,79900,-
7-Jan-25,FTGH,Flame Tree Group Holdings Ltd,0.85,2.33,0.96,1,0.96,1,-0.04,-4.00%,10500,-
